LINEAR_NAME_FULL_LEGAL
Ln W Yonge N Brookdale
Ln W Yonge N Cranbrooke
Ln W Yonge N Cumberland
Ln W Yonge N Farnham
Ln W Yonge N Harlandale
Ln W Yonge N Hillsdale
Ln W Yonge N Imperial
Ln W Yonge N Lola Rd
Ln W Yonge N Macpherson
Ln W Yonge N Melrose
Ln W Yonge N Ramsden Park
Ln W Yonge N Walton
Ln W Yonge N Wellington
Ln W Yonge N Woburn
Ln W Yonge N Woodlawn
Ln W Yonge N Yorkville
Ln W Yonge S Alcorn
Ln W Yonge S Bedford Park
Ln W Yonge S Castlefield
Ln W Yonge S Cranbrooke
Ln W Yonge S Elm
Ln W Yonge S Farnham
Ln W Yonge S Harlandale
Ln W Yonge S Johnston
Ln W Yonge S Lola Rd
Ln W Yonge S Melrose
Ln W Yonge S Poyntz
Ln W Yonge S Roxborough
Ln W Yonge S Scollard
Ln W Yonge S St Mary
Ln W Yonge S Walker Ave
Ln W Yonge S Walton
Ln W Yonge S Woodlawn
Ln W Yonge S Yorkville
Lord Seaton W Yonge Ramp
Lower Spadina Avenue
Manning Avenue
Old Yonge Street
Pelmar Place
Pelmo Crescent
Pelmo Park Trail
Relmar Gardens
Relmar Road
Rockelm Road
Roselm Road
Scotch Elmway
Skelmore Crescent
Spadina Avenue
Spadina Crescent
Spadina Park Trail
Spadina Road
Spadina S Gardiner Ramp
Spadina S Lakeshore W Ramp
Stop Spadina Lane
The Elms
The Elms Park Trail
Thelma Avenue
Thelmere Place
Velma Drive
WW E William R Allen S Elm Ridge
Ww N Elmartin W Triangle Villas
Ww S Canongate W Elmfield
Ww W Elmfield S Canongate
Yonge Boulevard
Yonge Boulevard Parkette Trail
Yonge St N 401 C E Ramp
Yonge St N 401 C W Ramp
Yonge St S 401 C W Ramp
Yonge Street
Yonge-University Subway
