Highway,Side,Between,Prohibited Times and/or Days
Armstrong Avenue,North,Emerson Avenue and Dufferin Street,"Anytime, from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive"
Armstrong Avenue,North,Emerson Avenue and Dufferin Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Arnold Avenue (TO),Both,Dundas Street East and St. David Street,Anytime
Arundel Avenue,West,A point 87 metres north of Danforth Avenue and Browning Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Arundel Avenue,West,Browning Avenue and a point 44.8 metres north of Fulton Avenue,Anytime
Ascot Avenue,North,St. Clair Gardens and Dufferin Street,"12:01 a.m. to 7:59 a.m., 9:01 a.m. to 2:59 p.m., 4:01 p.m. to 12:00 a.m., Mon. to Fri.; Anytime, Sat. and Sun."
Bleecker Street,West,A point 121 metres north of Carlton Street and a point 50 metres further north,"10:00 a.m. to 4:00 p.m., Mon. to Fri."
Blong Avenue,South,Pape Avenue and the east end of Blong Avenue,Anytime
Boston Avenue,East,Badgerow Avenue and a point 92 metres south,Anytime
Belsize Drive,North,Gresham Road and a point 43 metres west of Bayview Avenue,Anytime
Belsize Drive,North,Tullis Drive and Cuthbert Crescent,Anytime
Belsize Drive,North,Wilfrid Avenue and Acacia Road,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Bertmount Avenue,East,A point 307.5 metres north of Queen Street East and Mallon Avenue,Anytime
Bertmount Avenue,East,A point 53.5 metres north of Queen Street East and a point 46 metres further north,Anytime
Bloomfield Avenue,North,Prust Avenue and Greenwood Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Boston Avenue,East,Gerrard Street East and Badgerow Avenue,10:00 a.m. to 6:00 p.m.
Boston Avenue,West,Queen Street East and Dundas Street East,Anytime
Boswell Avenue,Both,Avenue Road and Bedford Road,Anytime
Belsize Drive,South,A point 48.8 metres east of Yonge Street and a point 187.4 metres further east,"9:00 a.m. to 11:00 a.m., Mon. to Fri."
Belsize Drive,South,Mount Pleasant Road and Acacia Road,"9:00 a.m. to 11:00 a.m., Mon. to Fri."
Benlamond Avenue,North,Main Street and Norwood Road,Anytime
Bertmount Avenue,East,A point 99.5 metres north of Queen Street East and a point 22.5 metres further north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Bertmount Avenue,East,Queen Street East and a point 53.5 metres north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Blythwood Gardens,East,Blythwood Road and a point 27.4 metres south,Anytime
Bouchette Street,West,Commissioners Street and Basin Street,Anytime
Boultbee Avenue,North,Jones Avenue and Blake Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Boultbee Avenue,North,Jones Avenue and the east end of Boultbee Avenue,Anytime
Benson Avenue,Both,Alberta Avenue and a point 41.1 metres east,Anytime
Benson Avenue,North,A point 41.1 metres east of Alberta Avenue and Christie Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Benvenuto Place,All,Turning basin at south end,Anytime
Bertmount Avenue,East,A point 260.5 metres north of Queen Street East and a point 47 metres further north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Berwick Avenue,North,A point 120.4 metres west of Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Blythwood Road,North,St. Hilda's Avenue and and a point 5.7 metres east of Strathgowan Crescent,Anytime
Blythwood Road,South,A point 105.2 metres west of Strathgowan Crescent and a point 79.2 metres further west,Anytime
Boardwalk Drive,East,Queen Street East and a point 296 metres south,Anytime
Boultbee Avenue,North,Kiswick Avenue and Blake Street,Anytime
Boultbee Avenue,South,Kiswick Street and Jones Avenue,Anytime
Benvenuto Place,East,Edmund Avenue and the south end of Benvenuto Place,Anytime
Beresford Avenue,Both,A point 86.9 metres south of Ardagh Street and a point 64 metres further south,Anytime
Beresford Avenue,Both,Bloor Street West and a point 67.1 metres north,Anytime
Berwick Avenue,North,Yonge Street and a point 120.4 metres west,8:00 a.m. to 6:00 p.m.
Berwick Avenue,South,Yonge Street and Duplex Avenue,Anytime
Boardwalk Drive,East,A point 382 metres south of Queen Street East and Joseph Duggan Road,Anytime
Boardwalk Drive,North,Northern Dancer Boulevard and Sarah Ashbridge Avenue,Anytime
Boardwalk Drive,North,Sarah Ashbridge Avenue and Joseph Duggan Road,Anytime
Beresford Avenue,East,Annette Street and a point 37.8 metres north of Annette Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Beresford Avenue,West,A point 67.1 metres north of Bloor Street west and a point 150.9 metres south of Ardagh Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Beverley Street,East,College Street and Queen Street West,Anytime
Beverley Street,West,A point 15 metres north of Baldwin Street and a point 50 metres further north,"9:30 a.m. to 6:00 p.m., Mon. to Fri."
Beverley Street,West,College Street and a point 61 metres south,Anytime
Boardwalk Drive,South,Northern Dancer Boulevard and a point 25 metres east,Anytime
Boardwalk Drive,South,A point 61 metres east of Sarah Ashbridge Avenue and Joseph Duggan Road,Anytime
Boardwalk Drive,South,Sarah Ashbridge Avenue and a point 24 metres west,Anytime
Bracken Avenue,South,Scarborough Road and Victoria Park Avenue,Anytime
Bracondale Hill Road,Both,Davenport Road and Hillcrest Drive,Anytime
Bracondale Hill Road,Both,Hillcrest Drive and Turner Road,2:00 a.m. to 5:00 a.m.
Beresford Avenue,West,Ardagh Street and a point 86.9 metres south,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Beresford Avenue,West,Deforest Road and Bloor Street West,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Beverley Street,West,D'Arcy Street and a point 36.5 metres south,Anytime
Beverley Street,West,D'Arcy Street and a point 73 metres north,"8:30 a.m. to 6:00 p.m., except Sun."
Biggar Avenue,Both,Alberta Avenue and a point 45.7 metres west,Anytime
Boardwalk Drive,South,Sarah Ashbridge Avenue and a point 22 metres east,Anytime
Boardwalk Drive,South,Winners Circle and a point 21 metres east,Anytime
Boardwalk Drive,South,Winners Circle and a point 25 metres west,Anytime
Berkeley Street,East,Adelaide Street East and Ramsay Lane,Anytime
Berkeley Street,East,Shuter Street and Carlton Street,Anytime
Berkeley Street,East,The Esplanade and King Street East,Anytime
Biggar Avenue,North,Oakwood Avenue and a point 45.7 metres west of Alberta Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Bingham Avenue,East,Kingston Road and a point 75 metres north,Anytime
Boardwalk Drive,West,Queen Street East and the first lane south,Anytime
Boardwalk Drive,West,A point 195 metres south of Queen Street East and a point 26 metres further south,Anytime
Boardwalk Drive,West,A point 265 metres south of Queen Street East and Joseph Duggan Road,Anytime
Boustead Avenue,North,A point 186 metres west of Alhambra Avenue and Indian Road,Anytime
Boustead Avenue,South,A point 56 metres east of Indian Road and a point 109 metres further east,Anytime
Boustead Avenue,South,Roncesvalles Avenue and Alhambra Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Berkeley Street,West,Front Street East and a point 44.2 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Berkeley Street,West,King Street East and Adelaide Street East,Anytime
Berkeley Street,West,Queen Street East and a point 36 metres south,8:00 a.m. to 6:00 p.m.
Bingham Avenue,West,Kingston Road and a point 56 metres north,Anytime
Bocastle Avenue,East,Glenforest Road and a point 27.4 metres north,Anytime
Bocastle Avenue,East,Golfdale Road and Teddington Park Avenue,Anytime
Bocastle Avenue,West,Bowood Avenue and Golfdale Road,Anytime
Bracondale Hill Road,Both,Hillcrest Drive and Turner Road,"9:30 a.m. to 11:30 a.m., Mon. to Fri."
Brad Street,North,Dundas Street West and the west end of Brad Street,Anytime
Braemar Avenue,East,Eglinton Avenue West and Chaplin Crescent,Anytime
Berkeley Street,West,The lane first north of Dundas Street West and a point 15 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Berkshire Avenue,West,Queen Street East and Eastern Avenue,Anytime
Bernard Avenue,North,Avenue Road and Huron Street,Anytime
Bingham Avenue,West,A point 61.5 metres north of Kingston Road and a point 75 metres north of Kingston Road,Anytime
Bingham Avenue,West,Kingston Road and Bracken Avenue,Anytime
Birch Avenue,North,Yonge Street and a point 161.8 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Bocastle Avenue,West,Teddington Park Avenue and the north end of Bocastle Avenue,Anytime
Bodwin Avenue,North,Indian Grove and the west end of Bodwin Avenue,Anytime
Boler Street,Both,Maria Street and the north end of Boler Street,8:00 a.m. to 6:00 p.m.
Boulton Avenue,East,First Avenue and Gerrard Street East,Anytime
Bernard Avenue,North,Madison Avenue and Kendal Avenue,Anytime
Bernard Avenue,South,Avenue Road and first lane west,Anytime
Bernard Avenue,South,Bedford Road and a point 30.5 metres west,Anytime
Birch Avenue,South,Grange Avenue and the west end,Anytime
Birchview Crescent,West,A point 53 metres south of Oakview Avenue and a point 19.5 metres further south,Anytime
Bishop Street,South,Davenport Road and the west end of Bishop Street,Anytime
Bond Street,West,Shuter Street and a point 40 metres south of Dundas Street East,Anytime
Bowden Street,West,Hogarth Avenue and Danforth Avenue,Anytime
Bowmore Road,West,Wrenson Road and a point 29 metres north of Wrenson Road,"8:30 a.m. to 6:00 p.m., Mon. to Fri."
Bernard Avenue,South,A point 141 metres east of Bedford Road and a point 27 metres further east,Anytime
Bernard Avenue,South,Bedford Road and Admiral Road,Anytime
Bernard Avenue,South,Brunswick Avenue and Kendal Avenue,Anytime
Bishop Tutu Boulevard,East,Queens Quay West and a point 43 metres north,Anytime
Bishop Tutu Boulevard,West and South,Queens Quay West and Stadium Road,Anytime
Blackmore Street,Both,Davenport Road and the east end of Blackmore Street,Anytime
Booth Avenue,East,Eastern Avenue and a point 53.3 metres north,Anytime
Booth Avenue,East,Eastern Avenue and Queen Street East,Anytime
Booth Avenue,East,Lake Shore Boulevard East and Eastern Avenue,Anytime
Boulton Avenue,West,Dundas Street East and First Avenue,Anytime
Boulton Drive,East,A point approximately 234 metres north of Cottingham Road and a point 75 metres further north,Anytime
Boulton Drive,East,Poplar Plains Road and Cottingham Road,Anytime
Bernard Avenue,South,Huron Street and Madison Avenue,Anytime
Bernard Avenue,South,Spadina Road and Madison Avenue,Anytime
Berryman Street,North,A point 77 metres west of Davenport Road and a point 35 metres further west,Anytime
Blackthorn Avenue,West,A point 76.2 metres north of St. Clair Avenue West and a point 61 metres further north,Anytime
Booth Avenue,West,A point 168 metres south of Eastern Avenue and a point 72 metres further south,Anytime
Booth Avenue,West,Eastern Avenue and a point 41.1 metres south,Anytime
Booth Avenue,West,Lake Shore Boulevard East and a point 56.4 metres north,Anytime
Berryman Street,North,Davenport Road and a point 45.7 metres west,"10:00 a.m. to 3:30 p.m., Mon. to Fri., except public holidays"
Berryman Street,South,Davenport Road and Hazelton Avenue,Anytime
Booth Avenue,West,Queen Street East and Paisley Avenue,Anytime
Booth Avenue,West,Queen Street East and a point 22 metres south,Anytime
Bowmore Road,West,A point 29 metres north of Wrenson Road and a point 68 metres north of Wrenson Road,"9:30 a.m. to 11:30 a.m., 1:30 p.m. to 3:00 p.m., Mon. to Fri."
Bowood Avenue,South,A point 36.7 metres east of Yonge Street and a point 91.4 metres east of Yonge Street,Anytime
Bertmount Avenue,East,Mallon Avenue and Dundas Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Bertmount Avenue,East,A point 122 metres north of Queen Street East and a point 44 metres further north,Anytime
Boothroyd Avenue,East,Boultbee Avenue and a point 51.8 metres north,Anytime
Boulton Drive,North,Russell Hill Road and a point 61 metres west,Anytime
Boulton Drive,West,Macpherson Avenue and a point 61 metres north,Anytime
Boustead Avenue,North,Alhambra Avenue and a point 103 metres west of Alhambra Avenue,Anytime
Bertmount Avenue,East,A point 166 metres north of Queen Street East and a point 45.5 metres further north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Bertmount Avenue,East,A point 211.5 metres north of Queen Street East and a point 49 metres further north,Anytime
Bleecker Street,East,Howard Street and Carlton Street,Anytime
Belsize Drive,North,Cheston Road and a point 33 metres west of Gresham Road,Anytime
Belsize Drive,North,A point 22 metres west of Gresham Road and a point 11 metres further west,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Belsize Drive,North,Gresham Road and a point 22 metres west,Anytime
Barnaby Place,West,A point 41.1 metres north of Edward Street and Elm Street,Anytime
Ashby Place,East,King Street East and a point 17 metres north,Anytime
Ashby Place,West,King Street East and the north end of Ashby Place,Anytime
Ashdale Avenue,East,Gerrard Street East and Fairford Avenue,Anytime
Ava Road,South,Bathurst Street and Richview Avenue,Anytime
Avenue Road,East,Kilbarry Road and a point 30.5 metres north,Anytime
Avenue Road,East,A point 52 metres south of Hillholm Road and Oxton Avenue,Anytime
Bayfield Crescent,East,Playter Crescent and Playter Boulevard,Anytime
Bayfield Crescent,West,Playter Crescent and Playter Boulevard,"8:30 a.m. to 4:30 p.m., Mon. to Fri."
Beaton Avenue,East,Gerrard Street East and Wrenson Road,Anytime
Belshaw Place,Both,Dundas Street East and the west end of Belshaw Place,Anytime
Belsize Drive,North,A point opposite Acacia Road and Harwood Road,Anytime
Belsize Drive,North,Boyton Road and Cheston Road,Anytime
Ashdale Avenue,East,Queen Street East and Dundas Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Avenue Road,West,Hillholm Road and Kilbarry Avenue,Anytime
Avoca Avenue,East,St. Clair Avenue East and Rosehill Avenue,Anytime
Avoca Avenue,West,Rosehill Avenue and Pleasant Boulevard,Anytime
Beatrice Street,Both,A point 51 metres north of Dundas Street West and Dundas Street West,Anytime
Beatrice Street,West,College Street and North Beatrice Street,Anytime
Ashdale Avenue,West,Dundas Street East and Gerrard Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Avondale Road,East,Rosedale Road and Park Road,Anytime
Avondale Road,West,Rosedale Road and Park Road,"9:00 a.m. to 11:00 a.m., Mon. to Fri."
Aylmer Avenue,North,Yonge Street and a point 5.4 metres east of a point opposite the east limit of Baxter Street,Anytime
