Highway,Side,Between,Prohibited Times and/or Days
Victoria Park Avenue,East,St. Clair Avenue East and Southmead Road,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
St. Clair Avenue West,South,Runnymede Road and Cobalt Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
St. Clair Avenue West,South,A point 30.5 metres west of Russell Hill Road and a point 75 metres west of Russell Hill Road,Anytime
Sheppard Avenue West,South,A point 202 metres east of William R. Allen Road and Wilson Heights Boulevard,Anytime
Sheppard Avenue West,Both,Yeomans Road and a point 75 metres east,Anytime
South Kingsway,Both,Bloor Street and a point opposite the south limit of Larkin Avenue,Anytime
Weston Road,East,A point 70.5 metres north of Fern Avenue and Church Street,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Weston Road,East,A point 25.5 metres north of Fern Avenue and a point 45 metres further north,Anytime
Warden Avenue,Both,Ashtonbee Road and Barnsley Court/Ellington Drive,"7:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays"
St. Clair Avenue West,South,Spadina Road and a point 34 metres west of Poplar Plains Road,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
South Kingsway,East,Larkin Avenue and Mayfield Avenue,Anytime
South Kingsway,East,The Queensway and Ormskirk Avenue,Anytime
South Kingsway,West,Queen Street West and a point 52 metres north of Ripley Avenue,Anytime
Weston Road,West,Glenvalley Drive and Jane Street,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Warden Avenue,West,Barnsley Court and Bridletown Circle South,Anytime
Warden Avenue,West,Bridletown Circle South and a point 87 metres south of Finch Avenue East,"Anytime, except Sun."
Warden Avenue,East,A point 230 metres south of Bridletowne Circle and a point 83 metres north of Huntingwood Drive,"Anytime, except Sun."
St. Clair Avenue West,North,Symes Road and a point 166 metres west,Anytime
St. Clair Avenue West,South,A point 37 metres west of Tweedsmuir Avenue and a point 85 metres east of Bathurst Street,Anytime
St. Clair Avenue West,South,A point 57 metres east of Via Italia and a point 15.9 metres east,"9:00 a.m. to 6:00 p.m., Mon. to Fri., 8:00 a.m. to 6:00 p.m., Sat., except public holidays"
South Kingsway,West,A point 74 metres north of Ripley Avenue and Riverside Drive,Anytime
Spadina Avenue,East,Adelaide Street West and Queen Street West,Anytime
Spadina Avenue,West,A point 28.2 metres south of Baldwin Street and a point 7 metres further south,Anytime
Weston Road,East,Gunns Road and a point 44 metres north of Cayuga Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays"
Weston Road,East,Jane Street and Clouston Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Warden Avenue,East,Danforth Avenue and Hollis Avenue,Anytime
Warden Avenue,West,Danforth Avenue and Kingston Road,Anytime
Warden Avenue,East,A point 100 metres south of Eglinton Avenue East and Ashtonbee Road,Anytime
St. Clair Avenue West,North,Vicross Road and Warvet Crescent,Anytime
St. Clair Avenue East,North,Victoria Park Avenue and Glenburn Avenue,Anytime
St. Clair Avenue East,Both,Victoria Park Avenue and Warden Avenue,Anytime
Weston Road,West,A point 30.5 metres north of John Street and a point 12 metres further north,Anytime
Warden Avenue,East,Ellington Drive and a point 181 metres north,Anytime
Warden Avenue,East,A point 181 metres north of Ellington Drive and Highway 401,Anytime
Warden Avenue,West,A point 87 metres south of Finch Avenue East and Steeles Avenue East,Anytime
St. Clair Avenue West,South,A point 35 metres east of Warren Road and Warren Road,Anytime
St. Clair Avenue East,South,A point 225 metres east of Yonge Street and Avoca Avenue,Anytime
St. Clair Avenue West,South,A point 30.5 metres west of Yonge Street and a point 64 metres further west,Anytime
Spadina Avenue,West,A point 30.5 metres north of Dundas Street West and a point 61.5 metres further north,Anytime
Warden Avenue,East,Kingston Road and Hollis Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
St. Phillips Road,Both,Dixon Road and Weston Road,Anytime
Spadina Avenue,East,Glen Morris Street and a point 18 metres north of Sussex Avenue,Anytime
Spadina Avenue,Both,A point 43 metres south of Harbord Street and a point 45 metres north of Harbord Street,Anytime
Warden Avenue,East,Sheppard Avenue East and a point 83 metres north of Huntingwood Drive,Anytime
Scarlett Road,Both,Eglinton Avenue West and Dixon Road,Anytime
Weston Road,West,Lippincott Street West and Sykes Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Weston Road,Both,A point 64.4 metres south of Oak Street and Oak Street,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Rogers Road,South,Keele Street and Weston Road,Anytime
Rogers Road,North,Old Weston Road and Bicknell Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays"
Rogers Road,North,Weston Road and Bicknell Avenue,Anytime
Spadina Avenue,West,A point 12 metres north of St. Andrew Street and a point 8 metres further north,Anytime
Spadina Avenue,East,Spadina Crescent (north intersection) and a point 70 metres north of Willcocks Street,Anytime
Spadina Avenue,West,Spadina Crescent (north intersection) and a point 83 metres north of Willcocks Street,Anytime
Steeles Avenue West,Both,Albion Road and Kipling Avenue,Anytime
Steeles Avenue West,South,Kipling Avenue and Yonge Street,Anytime
Steeles Avenue East,South,Victoria Park Avenue and Dumont Street,Anytime
Rosedale Valley Road,North,A point 100 metres west of Bayview Avenue and Bayview Avenue,Anytime
Rosedale Valley Road,South,A point 76 metres east of Park Road and Bayview Avenue,Anytime
Rosedale Valley Road,North,Severn Street and a point 130 metres west of Bayview Avenue,Anytime
Sheppard Avenue East,Both,Amethyst Road and Aragon Avenue,Anytime
Spadina Avenue,East,A point 49 metres north of Sussex Avenue and Bloor Street West,Anytime
Spadina Avenue,West,A point 99 metres north of Sussex Avenue and Bloor Street West,Anytime
Spadina Road,East,Austin Terrace and Russell Hill Drive,Anytime
Lane,Both,"Sandra Road and north end, first west of O'Connor Drive",Anytime
Lane,Both,"Sibley Avenue and Victoria Park Avenue, first north of Danforth Avenue",Anytime
Lane,Both,"Strathmore Boulevard and Milverton Boulevard, first east of Woodbine Avenue",Anytime
McRae Drive,South,Bayview Avenue and Heather Road,Anytime
McRae Drive,South,Sutherland Drive and a point 13 metres east,Anytime
McRae Drive,South,A point 31 metres east and a point 61 metres east of Sutherland Drive,Anytime
Hanna Road,West,Parklea Road and a point 30.5 metres north,Anytime
Hanna Road,West,Eglinton Avenue East and a point 26 metres south of Eglinton Avenue East,Anytime
Heath Street,South,A point 43 metres east of Bayview Heights Drive and a point 152 metres east of Bayview Heights Drive,Anytime
Lane,Both,"Binswood Avenue and Woodbine Avenue, north of Mortimer Avenue",Anytime
Lane,Both,"Coleman Avenue and Sibley Avenue, west of Sibley Avenue",Anytime
Lane,Both,"Cosburn Avenue and north end of lane, first west of Haldon Avenue",Anytime
Lane,East,"Sutherland Avenue and lane north of Danforth Avenue, west of Victoria Park Avenue",Anytime
Lane,Both,"Sutherland Drive and Laird Drive, first north of Eglinton Avenue East",Anytime
Lane,Both,Todmorden Lane (See under Streets),Anytime
McRae Drive,East,A point opposite the north limit of Crandall Road and a point 36.5 metres south,Anytime
Memorial Park Avenue,North,Durant Avenue and Donlands Avenue,Anytime
Memorial Park Avenue,South,A point 67 metres west of Coxwell Avenue and a point 91.5 metres west thereof,"4:00 p.m. to 9:00 p.m., Mon. to Fri."
Hillside Drive,North,Broadview Avenue and a point 122 metres west of Broadview Avenue,Anytime
Hillside Drive,South,Broadview Avenue and a point 57 metres west of Broadview Avenue,Anytime
Hillside Drive,South,A point 57 metres west of Broadview Avenue and a point 333 metres west and north thereof,"7:30 a.m. to 6:00 p.m., Mon. to Sat."
Lane,Both,"Cosburn Avenue and O'Connor Drive, first east of Donlands Avenue",Anytime
Lane,Both,"Cosburn Avenue and 39.5 metres south, first west of Pape Avenue",Anytime
Lane,Both,"Dawes Road and west end of lane, first north of Gower Street",Anytime
Lane,Both,"Torrens Avenue and Woodville Avenue, first west of Pape Avenue",Anytime
Lane,Both,"Vaughan Street and west end of lane, south of Vanderhoof Avenue",Anytime
Lea Avenue,North,Airdrie Road and Randolph Road,"10:00 a.m. to 4:00 p.m., Mon. to Sat."
Memorial Park Avenue,South,A point 67 metres west of Coxwell Avenue and a point 126.5 metres west thereof,"Anytime, Sat. and Sun."
Merritt Road,East,A point 122 metres north of St. Clair Avenue East and a point 126.5 metres north,Anytime
Merritt Road,West,St. Clair Avenue East and a point 151 metres north,Anytime
Hillside Drive,West,Don Valley Drive and a point 40 metres south,Anytime
Holborne Avenue,South,Fairside Avenue and Glebemount Avenue,Anytime
Holborne Avenue,South,Woodbine Avenue and Gledhill Avenue,Anytime
Lane,Both,"Dentonia Park Avenue and Sutherland Avenue, first west of Bryant Avenue",Anytime
Lane,Both,"Dentonia Park Avenue and Coleman Avenue, first west of Sibley Avenue",Anytime
Lane,Both,"Dentonia Park Avenue and lane north of Danforth Avenue, west of Thyra Avenue",Anytime
Leacrest Road,North,Mallory Crescent (east intersection) and Rolph Road,Anytime
Lea Avenue,North,A point 49 metres east of Randolph Road and Laird Drive,"8:00 a.m. to 6:00 p.m., except Sun."
Lea Avenue,South,Airdrie Road and Randolph Road,"8:00 a.m. to 10:00 a.m., 3:00 p.m. to 5:00 p.m."
Midburn Avenue,North,Dawes Road and Goodwood Park Court,Anytime
Midburn Avenue,South,Dawes Road and Goodwood Park Court,2:00 a.m. to 7:00 a.m.
Millwood Road,North,Bayview Avenue and Rumsey Road,Anytime
Holland Avenue,South,Westview Boulevard and Victoria Park Avenue,Anytime
Hollinger Road,Northwest,Curity Avenue and Northdale Boulevard,Anytime
Hollinger Road,West,Curity Avenue and Bermondsey Road,Anytime
Lane,Both,"Dentonia Park Avenue and Weymouth Avenue, first west of Eldon Avenue",Anytime
Lane,Both,"Doncaster Avenue and first east/west lane south of Doncaster Avenue, east of Chisholm Avenue",Anytime
Lane,Both,"Doncaster Avenue and first lane south of Doncaster Avenue, first east of Main Street",Anytime
Leaside Park Drive,East,The south end of Leaside Park Drive and Overlea Boulevard,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Leaside Park Drive,West,The south end of Leaside Park Drive and Overlea Boulevard,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Mortimer Avenue,North,Woodbine Avenue and Coxwell Avenue,Anytime
Holmstead Avenue,South,Victoria Park Avenue and a point 70 metres west,Anytime
Hopedale Avenue,West,O'Connor Drive and a point 203 metres north,"Anytime, May, Jul., Sep. and Nov."
Hopedale Avenue,West and north,A point 203 metres north of O'Connor Drive and a point 157 metres west of Minton Place,Anytime
Lane,Both,"Donora Drive and south end of lane, first east of Dawes Road",Anytime
Lane,Both,"East York Avenue and Pape Avenue, north of MacPhail Avenue",Anytime
Lane,Both,"Floyd Avenue and north end of lane, first west of Donlands Avenue",Anytime
Leslie Street,Both,Wicksteed Avenue and Research Road,Anytime
Lesmount Avenue,West,A point 9 metres south of Cosburn Avenue and a point 66 metres further south,"9:00 a.m. to 11:00 a.m., 1:00 p.m. to 3:00 p.m., 4:00 p.m. of one day to 8:00 a.m. the next following day, Mon. to Fri.; Anytime, Sat. and Sun."
Northline Road,North and west,A point 109.7 metres east of Bermondsey Road and Dohme Avenue,Anytime
Northline Road,Southeast,Waterman Avenue and Dohme Avenue,Anytime
Oak Park Avenue,West,Cosburn Avenue and Lumsden Avenue,Anytime
Hutton Avenue,Both,Plains Road and O'Connor Drive,"9:00 a.m. to 3:00 p.m., Mon. to Fri., Jun., Jul. and Aug. excepted"
Industrial Street,North,Laird Drive and a point 30.5 metres east,Anytime
Lane,Both,"Floyd Avenue and north end of lane, first east of Pape Avenue",Anytime
Lane,Both,"Fulton Avenue and west end of lane, north of Fulton Avenue jog",Anytime
Lane,Both,"Fulton Avenue and west end, south of Fulton Avenue jog",Anytime
Lesmount Avenue,West,A point 9 metres north of Memorial Park Avenue and a point 51 metres further north,"9:00 a.m. to 11:00 a.m., 1:00 p.m. to 3:00 p.m., 4:00 p.m. of one day to 8:00 a.m. the next following day, Mon. to Fri.; Anytime, Sat. and Sun."
Millwood Road,North,Airdrie Road and Southvale Drive,Anytime
Millwood Road,South,McRae Drive and Southvale Drive,Anytime
Millwood Road,South,Bayview Avenue and a point opposite the east limit of Donegall Drive,Anytime
Industrial Street,South and east,Laird Drive and Commercial Road,Anytime
Lane,Both,North end of lane first north of Danforth Avenue and first east of Gledhill Avenue and a point 39.1 metres south thereof,Anytime
Lane,Both,Gledhill Avenue and west limit of Epsom Avenue,Anytime
Lesmount Avenue,West,O'Connor Drive and Davies Crescent,Anytime
Lesmount Avenue,East,O'Connor and Cosburn Avenue,Anytime
Linsmore Crescent,West,Mortimer Avenue and Memorial Park Avenue,Anytime
Nealon Avenue,North,Broadview Avenue and a point 39.5 metres east,Anytime
Nealon Avenue,South,Broadview Avenue and Jackman Avenue,Anytime
Inwood Avenue,Both,Mortimer Avenue and a point 17.5 metres north of Mortimer Avenue,Anytime
Inwood Avenue,East,A point approximately 34.3 metres north of Milverton Boulevard and Sammon Avenue,"Anytime, May, Jul., Sep. and Nov."
Lane,Both,"Holborne Avenue and south end of lane, first west of Woodbine Avenue",Anytime
Lane,Both,"Hopedale Avenue and north end of lane, west of Hopedale Avenue",Anytime
Lane,Both,"Laird Drive and east end of lane, first north of Parkhurst Boulevard",
Linsmore Crescent,West,Sammon Avenue and Mortimer Avenue,Anytime
Lumsden Avenue,North,Oak Park Avenue and Gledhill Avenue,Anytime
Oak Park Avenue,West,A point 49.7 metres north of Epsom Avenue and a point 53.4 metres north,Anytime
Oak Park Avenue,West,A point 55 metres south of Westbrook Avenue and a point 11.5 metres further south,Anytime
Orley Avenue,South,Westlake Avenue and Chisholm Avenue,Anytime
Inwood Avenue,West,A point approximately 34.3 metres north of Milverton Boulevard and Sammon Avenue,"Anytime, Jan., Feb., Mar., Apr., Jun., Aug., Oct. and Dec."
Jackman Avenue,West,Mortimer Avenue and a point 46.9 metres south of Nealon Avenue,Anytime
Lane,Both,"Laird Drive and west end of lane, first south of Parkhurst Boulevard",Anytime
Lane,Both,"Lumsden Avenue and north end of lane, first east of Chisholm Avenue",Anytime
Lane,Both,"Lumsden Avenue and south end of lane, first east of Chisholm Avenue",Anytime
Lumsden Avenue,North,Woodbine Avenue and Barrington Avenue,Anytime
Lumsden Avenue,South,Woodbine Avenue and Cedarvale Avenue,Anytime
Lumsden Avenue,North,A point opposite the east limit of Barrington Avenue and a point 30.5 metres east,Anytime
Millwood Road,South,Bessborough Drive and a point 38 metres west,Anytime
Milton Road,West,Judith Avenue and O'Connor Drive,Anytime
Milverton Boulevard,North,Coleridge Avenue and Cedarvale Avenue,Anytime
Lane,Both,"Markham Avenue and Lea Avenue, first east of Sutherland Drive",Anytime
Lane,Both,"Markham Avenue and north end of lane, first east of Sutherland Drive",Anytime
Lane,Both,"Markham Avenue and Lea Avenue, first west of Sutherland Drive",Anytime
Lumsden Avenue,South,King Edward Avenue and a point 27 metres east,Anytime
Kimbourne Avenue,East,Sammon Avenue and Mortimer Avenue,Anytime
Lane,Both,"McRae Drive and Markham Avenue, first west of Sutherland Drive",Anytime
Lane,Both,"North of Millwood Road and Donegall Drive, first east of Bayview Avenue",Anytime
Lane,Both,"Millwood Road and north end of lane, first east of Airdrie Road",Anytime
MacNaughton Road,East,Millwood Road and Cameron Crescent,Anytime
MacPhail Avenue,North,Pape Avenue and the lane west of East York Avenue,Anytime
MacPhail Avenue,South,A point 32 metres west of Pape Avenue and the lane west of East York Avenue,Anytime
Mortimer Avenue,South,Donlands Avenue and Broadview Avenue,Anytime
King Edward Avenue,East,Barker Avenue and Holborne Avenue,Anytime
King Edward Avenue,North,The north/south leg of King Edward Avenue and a point 47.6 metres west of Gledhill Avenue.,Anytime
King Edward Avenue,North,Gledhill Avenue and a point 47.6 metres west,"5:00 p.m. to 8:00 a.m., Mon. to Fri.; Anytime, Sat. and Sun."
Lane,Both,"Mortimer Avenue and north end of lane north of Floyd Avenue, west of Pape Avenue",Anytime
Lane,East,"Mortimer Avenue and the lane south of MacPhail Avenue, first west of East York Avenue",Anytime
Lane,Both,"Mortimer Avenue and the lane north of MacPhail Avenue, first west of Pape Avenue",Anytime
Main Street,East,Doncaster Avenue and a point 30.5 metres north of Doncaster Avenue,Anytime
Main Street,West,Laird Drive and Randolph Road,"6:00 a.m. to 6:00 p.m., Mon. to Sat."
Moore Avenue,North,Bayview Avenue and Pottery Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri."
Knight Street,East,Sammon Avenue and Mortimer Avenue,Anytime
Laird Drive,East,Donlea Drive and Divadale Boulevard,Anytime
Laird Drive,East,Within 30.5 metres south of Donlea Drive,Anytime
Lane,Both,"Mortimer Avenue and Memorial Park Avenue, first east of Donlands Avenue",Anytime
Lane,Both,"Pape Avenue and Donlands Avenue, first north of O'Connor Drive",Anytime
Lane,Both,"Pape Avenue to the lane west of East York Avenue, south of MacPhail Avenue",Anytime
Marilyn Crescent,West,A point 54 metres north of St. Clair Avenue East and a point 94 metres further north,"9:00 a.m. to 11:00 a.m., 1:00 p.m. to 3:00 p.m., Mon. to Fri."
Nesbitt Drive,South,Douglas Crescent and Bayview Avenue,Anytime
Northdale Boulevard,North,Hollinger Road and a point 30 metres east of Hollinger Road,Anytime
Northline Road,Northwest,Dohme Avenue and Northdale Boulevard,Anytime
Laird Drive,West,Eglinton Avenue East and the first lane running west,Anytime
Laird Drive,West,Within 30.5 metres north of Donlea Drive,Anytime
Laird Drive,Both,Glenvale Boulevard and Broadway Avenue,"8:30 a.m. to 11:00 a.m., Mon. to Fri."
Lane,Both,"Plains Road and O'Connor Drive, east of Coxwell Avenue",Anytime
Lane,Both,"Plaxton Drive and west end of lane, first north of Glen Robert Drive",Anytime
Krawchuk Lane,Both,Randolph Road and Southvale Drive,Anytime
Marlow Avenue,West,Sammon Avenue and a point 38.5 metres north of Milverton Boulevard,Anytime
Mortimer Avenue,South,Coxwell Avenue and Durant Avenue,Anytime
Mortimer Avenue,South,Donlands Avenue and Dewhurst Boulevard,Anytime
Mortimer Avenue,North,,
Lane,Both,Aldwych Avenue and lane west of Langford Avenue,Anytime
Lane,Both,"Aldwych Avenue and Sammon Avenue and mid-block to east end, east of Pape Avenue",Anytime
Lane,Both,"Bayview Avenue and north end of lane, north of Airdrie Road",Anytime
Lane,Both,"St. Clair Avenue East and Gardens Crescent, east of O'Connor Drive",Anytime
Lane,Both,"Sammon Avenue and Floyd Avenue, first east of Pape Avenue",Anytime
Lane,Both,"Sammon Avenue and Floyd Avenue, first west of Donlands Avenue",Anytime
McRae Drive,North,Field Avenue and Rumsey Road,Anytime
McRae Drive,North,Randolph Road and Laird Drive,Anytime
McRae Drive,North,Sutherland Drive and Randolph Road,Anytime
Hanna Road,West,Adjacent to Bessborough School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun."
Hanna Road,West,Adjacent to Rolph Road School,"8:30 a.m. to 4:30 p.m., except Sat. and Sun."
Hanna Road,West,Millwood Road and a point 30.5 metres north of Millwood Road,Anytime
Epsom Avenue,North,Oak Park Avenue and Westlake Avenue,Anytime
Esandar Drive,South,Laird Drive and the easterly end,Anytime
Esandar Drive,North,Laird Drive and the easterly end,Anytime
Everett Crescent,West and south,A point 22 metres north of a point opposite the north limit of Hamstead Avenue and a point 27.5 metres north and west,Anytime
Dohme Avenue,South,Westview Boulevard and a point 35.54 metres west of Westview Boulevard,Anytime
Dohme Avenue,South,A point 30.5 metres west of Cranfield Road and a point 30.5 metres east of Cranfield Road,Anytime
Glebemount Avenue,West,Dunkirk Road and Sammon Avenue,"8:00 a.m. to 10:00 a.m., 3:00 p.m. to 5:00 p.m., Mon. to Fri."
Glebemount Avenue,East,Cosburn Avenue and Barker Avenue,Anytime
Glebemount Avenue,East,Dunkirk Road and Sammon Road,Anytime
Hanna Road,East,Eglinton Avenue East and Donlea Drive,"6:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Hanna Road,East,Millwood Road and a point 30.5 metres north,Anytime
Hanna Road,East,Parkhurst Boulevard and Eglinton Avenue East,Anytime
Chilton Road,East,O'Connor Drive and a point 47 metres north,Anytime
Chisholm Avenue,West,Crewe Avenue and Lumsden Avenue,Anytime
Chisholm Avenue,East,A point 38.1 metres south a point opposite the southerly limit of Gatwick Avenue and Lumsden Avenue (south intersection),Anytime
Don Avon Drive,Both,Donlea Drive and Divadale Drive,"9:00 a.m. to 1:00 p.m., Mon. to Fri., excluding public holidays"
Don Avon Drive,East,Eglinton Avenue East and Donlea Drive,Anytime
Don Avon Drive,East,Broadway Avenue and Brentcliffe Avenue,Anytime
Glebemount Avenue,East,Queensdale Avenue and a point 38 metres south of Springdale Bouelvard,Anytime
Gledhill Avenue,West,A point 79 metres north of Danforth Avenue and a point 46 metres further north,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Evergreen Gardens,North,A point 18.5 metres east of Windmill Road and a point 100.5 metres east of Windmill Road,Anytime
Evergreen Gardens,South,Bayview Heights Drive and a point 111 metres west of Bayview Heights Drive,Anytime
Fairland Road,Both,Laird Drive and Brentcliffe Road,"8:30 a.m. to 11:00 a.m., Mon. to Fri."
Coleman Avenue,North,Sibley Avenue and a point 45.9 metres west of Sibley Avenue,Anytime
Coleridge Avenue,West,Strathmore Boulevard and Milverton Boulevard (east intersection),Anytime
Commercial Road,North,A point 260 metres east of Laird Drive and a point 337 metres east of Laird Drive,Anytime
Doncaster Avenue,South,Chisholm Avenue and Barrington Avenue,Anytime
Doncaster Avenue,South,Chisholm Avenue and Oak Park Avenue,Anytime
Doncaster Avenue,North,Barrington Avenue and a point 23 metres west of Barrington Avenue,Anytime
Glenburn Avenue,East,Amsterdam Avenue and the north end of Glenburn Avenue,Anytime
Fairside Avenue,West,Cosburn Avenue and Barker Avenue,Anytime
Fairside Avenue,East,Mortimer Avenue and Barker Avenue,"8:00 a.m. to 10:00 a.m., 3:00 p.m. to 5:00 p.m., Mon. to Fri."
Fairside Avenue,West,Mortimer Avenue and Barker Avenue,Anytime
Commercial Road,North,A point 340.5 metres east of Laird Drive and Copeland Street,Anytime
Commercial Road,North,Laird Drive and a point 125 metres east,Anytime
Commercial Road,South,Laird Drive and Copeland Street,Anytime
Donegall Drive,East,Cameron Crescent and a point 12.5 metres north,Anytime
Donegall Drive,East,Cameron Crescent and a point 15 metres south,Anytime
Donegall Drive,West,Millwood Road and Parkhurst Boulevard,Anytime
Glenburn Avenue,West,Ferris and St. Clair Avenue East,Anytime
Glenburn Avenue,West,Holland Avenue and the north end of Glenburn Avenue,Anytime
Glencrest Boulevard,South,Glenburn Avenue and Victoria Park Avenue,Anytime
Ferris Road,West,Dawes Road and Glenburn Avenue,Anytime
Ferris Road,North,Plaxton Drive and a point 45.5 metres west of Plaxton Drive,Anytime
Ferris Road,North,Rexleigh Drive and a point 134 metres west of Rexleigh Drive,Anytime
Copeland Street,East,Commercial Road and Wicksteed Avenue,Anytime
Donegall Drive,West,Parkhurst Boulevard and the north end of Donegall Drive,Anytime
Glenvale Boulevard,North,Bayview Avenue and Hanna Road,"8:00 a.m. to 10:00 a.m., Mon. to Fri., except public holidays"
Glenvale Boulevard,South,Bayview Avenue and Roxville Avenue,Anytime
Field Avenue,North,Bessborough Drive and Hanna Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Fleming Crescent,North,Bayview Avenue and Donegall Drive,Anytime
Fleming Crescent,East,Donegall Drive (north intersection) and a point 69 metres south,Anytime
Cosburn Avenue/Westlake Avenue,Both,A point 45.5 metres east of Haldon Avenue and continuing east and south to Hamstead Avenue,Anytime
Coxwell Avenue,East,Cosburn Avenue and Plains Road,8:30 a.m. to 6:00 p.m.
Donlands Avenue,East,Memorial Park Avenue and Cosburn Avenue,"8:30 a.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Donlands Avenue,Both,O'Connor Drive and Plains Road,"2:00 a.m. to 6:00 a.m., Mon. and Tue. Only"
Donlands Avenue,West,Westwood Avenue and a point 24 metres north,Anytime
Glenvale Boulevard,South,Roxville Avenue and Hanna Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Glenwood Crescent,East and west,O'Connor Drive and a point 61 metres east,Anytime
Glenwood Crescent,North,O'Connor Drive and the west end of Glenwood Crescent,Anytime
Fleming Crescent,East,A point 69 metres south of Donegall Drive (north intersection) and Parkhurst Boulevard,"6:30 p.m. to 10:30 p.m. daily, except 12 p.m. to 10:30 p.m., Sat."
Fleming Crescent,West,Donegall Drive (north intersection) and a point 27.5 metres south,Anytime
Coxwell Avenue,West,Memorial Park Avenue and Mortimer Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Coxwell Avenue,West,Queensdale Avenue and a point 19 metres south of Queensdale Avenue,Anytime
Craig Crescent,North,Bayview Avenue and Bessborough Drive,
Donlea Drive,North,Don Avon Drive and a point 30.5 metres east of Laird Drive,2:00 a.m. to 5:00 a.m.
Donlea Drive,South,Don Avon Drive and a point 30.5 metres east of Laird Drive,2:00 a.m. to 5:00 a.m.
Donlea Drive,North,A point 30.5 metres east of Laird Drive and Laird Drive,Anytime
Glenwood Terrace,East,Glenwood Crescent and a point 33.5 metres north of Glenwood Crescent,Anytime
Goodwood Park Court,North,A point 65.5 metres east of Dawes Road and a point 171 metres east of Dawes Road,Anytime
Gough Avenue,Both,The north end of Gough Avenue and a point 35.6 metres north of Canning Avenue,Anytime
Fleming Crescent,,,
Fleming Crescent,South and east,Parkhurst Boulevard and Donegall Drive (south intersection),Anytime
Craig Crescent,South,Bayview Avenue and a point 113 metres east of Bayview Avenue,
Cranfield Road,West,Curity Avenue and Northdale Avenue,
Cranfield Road,West,Dohme Avenue and a point 30.5 metres north of Dohme Avenue,
Donlea Drive,North,Laird Drive and Rumsey Road,Anytime
Donlea Drive,South,A point 30.5 metres east of Laird Drive and Laird Drive,Anytime
Donlea Drive,South,Don Avon Drive and Brentcliffe Road,Anytime
Gowan Avenue,North,Logan Avenue and a point 30.5 metres east of Logan Avenue,Anytime
Gowan Avenue,South,Logan Avenue and Carlaw Avenue,Anytime
Gowan Avenue,North,A point 30.5 metres east of Logan Avenue and a point opposite the easterly limit of Carlaw Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Four Oaks Gate,North,Don Mills Road and a point 70 metres east of Don Mills Road,Anytime
Cranfield Road,West,Dohme Avenue and a point 30.5 metres south of Dohme Avenue,
Cranfield Road,West,A point 95 metres north of Bermondsey Road and a point 100 metres north of Bermondsey Road,
Cranfield Road,East,Curity Avenue and the southwest end of Cranfield Road,
Donlea Drive,North,Brentcliffe Road and a point 42.7 metres west,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Donora Drive,South,A point 24.5 metres west of Meighen Avenue and a point 91 metres west of Meighen Avenue,Anytime
Donora Drive,South,Dawes Road and a point 61 metres east of Dawes Road,Anytime
Gowan Avenue,South,Pape Avenue and Broadview Avenue,Anytime
Four Oaks Gate,South,Don Mills Road and Dustan Crescent,Anytime
Four Oaks Gate,South,O'Connor Drive and Dustan Crescent,8:00 a.m. to 6:00 p.m.
Four Oaks Gate,,Binswood Avenue and Glebemount Avenue,Anytime
Cranfield Road,East,Curity Avenue and the southwest end of Cranfield Road,
Crestland Avenue,East,Barker Avenue and Mortimer Avenue,"8:00 a.m. to 10:00 a.m., 3:00 p.m. to 5:00 p.m., Mon. to Fri."
Crestland Avenue,West,Mortimer Avenue and Barker Avenue,Anytime
Douglas Crescent,East,Nesbitt Drive (north intersection) and a point 47 metres south,Anytime
